condition	picture_id	picture	
1	151	157REALISTA.jpg	
1	152	158REALISTA.jpg	
1	153	159REALISTA.jpg	
1	154	160NEUTRO.jpg	
1	155	161REALISTA.jpg	
1	156	162NEUTRO.jpg	
1	157	163ABSTRACTO.jpg	
1	158	164ABSTRACTO.jpg	
1	159	165REALISTA.jpg	
1	160	166NEUTRO.jpg	
1	161	167NEUTRO.jpg	
1	162	168DISEO.jpg	
1	163	169ABSTRACTO.jpg	
1	164	170NEUTRO.jpg	
1	165	171DISEO.jpg	
1	166	172ABSTRACTO.jpg	
1	167	173REALISTA.jpg	
1	168	174POSTIMPRES.jpg	
1	169	175ABSTRACTO.jpg	
1	170	176ABSTRACTO.jpg	
1	171	177REALISTA.jpg	
1	172	178DISEO.jpg	
1	173	179IMPRESION.jpg	
1	174	180ABSTRACTO.jpg	
1	175	181ABSTRACTO.jpg	
1	176	182DISEO.jpg	
1	177	183REALISTA.jpg	
1	178	184ABSTRACTO.jpg	
1	179	185ABSTRACTO.jpg	
1	180	186ABSTRACTO.jpg	
1	181	187DISEO.jpg	
1	182	188ABSTRACTO.jpg	
1	183	189IMPRESION.jpg	
1	184	190ABSTRACTO.jpg	
1	185	191REALISTA.jpg	
1	186	192IMPRESION.jpg	
1	187	193REALISTA.jpg	
1	188	194NEUTRO.jpg	
1	189	195DISEO.jpg	
1	190	196NEUTRO.jpg	
1	191	197POSTIMPRES.jpg	
1	192	198ABSTRACTO.jpg	
1	193	199ABSTRACTO.jpg	
1	194	200ABSTRACTO.jpg	
1	195	201ABSTRACTO.jpg	
1	196	202REALISTA.jpg	
1	197	203NEUTRO.jpg	
1	198	204POSTIMPRES.jpg	
1	199	205REALISTA.jpg	
1	200	206ABSTRACTO.jpg	
