condition	picture_id	picture	
1	351	357ABSTRACTO.jpg	
1	352	358NEUTRO.jpg	
1	353	359ABSTRACTO.jpg	
1	354	360NEUTRO.jpg	
1	355	361DISEO.jpg	
1	356	362ABSTRACTO.jpg	
1	357	363ABSTRACTO.jpg	
1	358	364ABSTRACTO.jpg	
1	359	365ABSTRACTO.jpg	
1	360	366NEUTRO.jpg	
1	361	367ABSTRACTO.jpg	
1	362	368ABSTRACTO.jpg	
1	363	369IMPRESION.jpg	
1	364	370NEUTRO.jpg	
1	365	371ABSTRACTO.jpg	
1	366	372IMPRESION.jpg	
1	367	373POSTIMPRES.jpg	
1	368	374POSTIMPRES.jpg	
1	369	375NEUTRO.jpg	
1	370	376ABSTRACTO.jpg	
1	371	377NEUTRO.jpg	
1	372	378NEUTRO.jpg	
1	373	379POSTIMPRES.jpg	
1	374	380NEUTRO.jpg	
1	375	381ABSTRACTO.jpg	
1	376	382NEUTRO.jpg	
1	377	383ABSTRACTO.jpg	
1	378	384NEUTRO.jpg	
1	379	385POSTIMPRES.jpg	
1	380	386NEUTRO.jpg	
1	381	387NEUTRO.jpg	
1	382	388NEUTRO.jpg	
1	383	389POSTIMPRES.jpg	
1	384	390ABSTRACTO.jpg	
1	385	391ABSTRACTO.jpg	
1	386	392ABSTRACTO.jpg	
1	387	393REALISTA.jpg	
1	388	394IMPRESION.jpg	
1	389	395ABSTRACTO.jpg	
1	390	396REALISTA.jpg	
1	391	397REALISTA.jpg	
1	392	398NEUTRO.jpg	
1	393	399ABSTRACTO.jpg	
1	394	400DISEO.jpg	
1	395	401NEUTRO.jpg	
1	396	402IMPRESION.jpg	
1	397	403DISEO.jpg	
1	398	404ABSTRACTO.jpg	
1	399	405ABSTRACTO.jpg	
1	400	406ABSTRACTO.jpg	
