picture_id	female	list	version	picture_sas	picture_has	rand	org order
14	1	A	2	AF14SAS.JPG	AF14HAS.JPG	0.640583817459289	1
17	1	A	2	AF17SAS.JPG	AF17HAS.JPG	0.655312059410363	2
16	1	A	2	AF16SAS.JPG	AF16HAS.JPG	0.848065383007977	3
04	1	A	2	AF04SAS.JPG	AF04HAS.JPG	0.690565600223863	4
25	1	A	2	AF25SAS.JPG	AF25HAS.JPG	0.831562298738288	5
09	1	A	2	AF09SAS.JPG	AF09HAS.JPG	0.605684151918434	6
28	1	A	2	AF28SAS.JPG	AF28HAS.JPG	0.858324936315349	7
32	1	A	2	AF32SAS.JPG	AF32HAS.JPG	0.190678291795451	8
27	1	A	2	AF27SAS.JPG	AF27HAS.JPG	0.747074416104531	9
22	1	A	2	AF22SAS.JPG	AF22HAS.JPG	0.217362764940709	10
21	1	A	2	AF21SAS.JPG	AF21HAS.JPG	0.083011720463419	11
07	1	A	2	AF07SAS.JPG	AF07HAS.JPG	0.519680844585544	12
33	1	A	2	AF33SAS.JPG	AF33HAS.JPG	0.335771524061103	13
26	1	A	2	AF26SAS.JPG	AF26HAS.JPG	0.268239943026078	14
31	1	A	2	AF31SAS.JPG	AF31HAS.JPG	0.472424545052007	15
05	1	A	2	AF05SAS.JPG	AF05HAS.JPG	0.982022974645534	16
20	1	A	2	AF20SAS.JPG	AF20HAS.JPG	0.791955684682071	17
02	1	A	2	AF02SAS.JPG	AF02HAS.JPG	0.122543403980746	18
03	1	A	2	AF03SAS.JPG	AF03HAS.JPG	0.420352156197667	19
11	1	A	2	AF11SAS.JPG	AF11HAS.JPG	0.126440470586672	20
30	1	A	2	AF30SAS.JPG	AF30HAS.JPG	0.162192042363647	21
13	1	A	2	AF13SAS.JPG	AF13HAS.JPG	0.80149450203137	22
35	1	A	2	AF35SAS.JPG	AF35HAS.JPG	0.968736699662487	23
12	1	A	2	AF12SAS.JPG	AF12HAS.JPG	0.805219991067904	24
01	1	A	2	AF01SAS.JPG	AF01HAS.JPG	0.809081427001308	25
24	1	A	2	AF24SAS.JPG	AF24HAS.JPG	0.820112439344647	26
34	1	A	2	AF34SAS.JPG	AF34HAS.JPG	0.591069691516045	27
29	1	A	2	AF29SAS.JPG	AF29HAS.JPG	0.507737558291479	28
06	1	A	2	AF06SAS.JPG	AF06HAS.JPG	0.828757101259315	29
23	1	A	2	AF23SAS.JPG	AF23HAS.JPG	0.878002709428846	30
19	1	A	2	AF19SAS.JPG	AF19HAS.JPG	0.444307192274266	31
15	1	A	2	AF15SAS.JPG	AF15HAS.JPG	0.250898897605204	32
10	1	A	2	AF10SAS.JPG	AF10HAS.JPG	0.763143246417186	33
