condition	picture_id	picture
2	1	c239.bmp
2	2	c262.bmp
2	3	c246.bmp
2	4	c267.bmp
2	5	c249.bmp
2	6	c152.bmp
2	7	c203.bmp
2	8	c129.bmp
2	9	c130.bmp
2	10	c111.bmp
2	11	c275.bmp
2	12	c153.bmp
2	13	c115.bmp
2	14	c148.bmp
2	15	c293.bmp
2	16	c284.bmp
2	17	c122.bmp
2	18	c175.bmp
2	19	c213.bmp
2	20	c180.bmp
2	21	c234.bmp
2	22	c114.bmp
2	23	c181.bmp
2	24	c229.bmp
2	25	c277.bmp
2	26	c230.bmp
2	27	c220.bmp
2	28	c196.bmp
2	29	c259.bmp
2	30	c126.bmp
2	31	c186.bmp
2	32	c116.bmp
2	33	c149.bmp
2	34	c210.bmp
2	35	c168.bmp
2	36	c271.bmp
2	37	c183.bmp
2	38	c151.bmp
2	39	c254.bmp
2	40	c189.bmp
2	41	c290.bmp
2	42	c261.bmp
2	43	c298.bmp
2	44	c286.bmp
2	45	c292.bmp
2	46	c274.bmp
2	47	c176.bmp
2	48	c237.bmp
2	49	c297.bmp
2	50	c179.bmp
2	51	c136.bmp
2	52	c212.bmp
2	53	c245.bmp
2	54	c280.bmp
2	55	c208.bmp
2	56	c278.bmp
2	57	c216.bmp
2	58	c258.bmp
2	59	c283.bmp
2	60	c131.bmp
2	61	c204.bmp
2	62	c242.bmp
2	63	c285.bmp
2	64	c269.bmp
2	65	c244.bmp
