condition	picture_id	picture
1	1	81.bmp
1	2	144.bmp
1	3	49.bmp
1	4	55.bmp
1	5	121.bmp
1	6	114.bmp
1	7	112.bmp
1	8	66.bmp
1	9	79.bmp
1	10	168.bmp
1	11	150.bmp
1	12	133.bmp
1	13	163.bmp
1	14	127.bmp
1	15	32.bmp
1	16	147.bmp
1	17	7.bmp
1	18	138.bmp
1	19	113.bmp
1	20	87.bmp
1	21	58.bmp
1	22	77.bmp
1	23	169.bmp
1	24	40.bmp
1	25	148.bmp
1	26	10.bmp
1	27	72.bmp
1	28	160.bmp
1	29	20.bmp
1	30	139.bmp
1	31	56.bmp
1	32	84.bmp
1	33	64.bmp
1	34	162.bmp
1	35	44.bmp
1	36	123.bmp
1	37	117.bmp
1	38	3.bmp
1	39	119.bmp
1	40	23.bmp
1	41	149.bmp
1	42	52.bmp
1	43	31.bmp
1	44	51.bmp
1	45	132.bmp
1	46	151.bmp
1	47	85.bmp
1	48	24.bmp
1	49	159.bmp
1	50	19.bmp
1	51	65.bmp
1	52	155.bmp
1	53	136.bmp
1	54	153.bmp
1	55	111.bmp
1	56	167.bmp
1	57	88.bmp
1	58	165.bmp
1	59	166.bmp
1	60	48.bmp
1	61	73.bmp
1	62	143.bmp
1	63	86.bmp
1	64	157.bmp
1	65	129.bmp
