condition	picture_id	picture
2	66	c167.bmp
2	67	c133.bmp
2	68	c270.bmp
2	69	c255.bmp
2	70	c155.bmp
2	71	c224.bmp
2	72	c202.bmp
2	73	c238.bmp
2	74	c217.bmp
2	75	c236.bmp
2	76	c294.bmp
2	77	c296.bmp
2	78	c118.bmp
2	79	c188.bmp
2	80	c137.bmp
2	81	c123.bmp
2	82	c248.bmp
2	83	c173.bmp
2	84	c279.bmp
2	85	c158.bmp
2	86	c154.bmp
2	87	c260.bmp
2	88	c146.bmp
2	89	c110.bmp
2	90	c231.bmp
2	91	c194.bmp
2	92	c252.bmp
2	93	c211.bmp
2	94	c113.bmp
2	95	c214.bmp
2	96	c128.bmp
2	97	c200.bmp
2	98	c156.bmp
2	99	c150.bmp
2	100	c184.bmp
2	101	c226.bmp
2	102	c197.bmp
2	103	c177.bmp
2	104	c282.bmp
2	105	c232.bmp
2	106	c199.bmp
2	107	c174.bmp
2	108	c107.bmp
2	109	c120.bmp
2	110	c240.bmp
2	111	c190.bmp
2	112	c218.bmp
2	113	c193.bmp
2	114	c121.bmp
2	115	c124.bmp
2	116	c195.bmp
2	117	c295.bmp
2	118	c192.bmp
2	119	c251.bmp
2	120	c215.bmp
2	121	c119.bmp
2	122	c221.bmp
2	123	c112.bmp
2	124	c257.bmp
2	125	c138.bmp
2	126	c206.bmp
2	127	c291.bmp
2	128	c228.bmp
2	129	c134.bmp
2	130	c205.bmp
