condition	picture_id	picture
2	1	350.bmp
2	2	257.bmp
2	3	361.bmp
2	4	400.bmp
2	5	370.bmp
2	6	425.bmp
2	7	319.bmp
2	8	428.bmp
2	9	213.bmp
2	10	205.bmp
2	11	404.bmp
2	12	383.bmp
2	13	209.bmp
2	14	438.bmp
2	15	334.bmp
2	16	179.bmp
2	17	346.bmp
2	18	190.bmp
2	19	379.bmp
2	20	194.bmp
2	21	241.bmp
2	22	381.bmp
2	23	327.bmp
2	24	269.bmp
2	25	183.bmp
2	26	340.bmp
2	27	408.bmp
2	28	431.bmp
2	29	418.bmp
2	30	240.bmp
2	31	392.bmp
2	32	364.bmp
2	33	294.bmp
2	34	331.bmp
2	35	398.bmp
2	36	239.bmp
2	37	423.bmp
2	38	328.bmp
2	39	397.bmp
2	40	189.bmp
2	41	299.bmp
2	42	196.bmp
2	43	192.bmp
2	44	268.bmp
2	45	430.bmp
2	46	217.bmp
2	47	173.bmp
2	48	420.bmp
2	49	293.bmp
2	50	224.bmp
2	51	395.bmp
2	52	384.bmp
2	53	413.bmp
2	54	380.bmp
2	55	347.bmp
2	56	286.bmp
2	57	407.bmp
2	58	323.bmp
2	59	202.bmp
2	60	186.bmp
2	61	287.bmp
2	62	365.bmp
2	63	200.bmp
2	64	429.bmp
2	65	235.bmp
