iaps_num	iaps_jpg	valence	desc	valmn	valsd	aromn	arosd	dom1mn	dom1sd	dom2mn	dom2sd	set.
7497	7497.jpg	neutral	Crowd	5.19	1.55	4.97	2.16	4.26	2.1	.	.	18\
7502	7502.jpg	positive	Castle	7.75	1.4	5.91	2.31	6.64	2.19	6.58	2.08	7\
7504	7504.jpg	neutral	Stairs	5.67	1.46	4.25	2.27	.	.	5.8	2.09	14\
7512	7512.jpg	neutral	Chess	5.38	1.22	3.72	2.07	5.84	1.96	.	.	20\
7513	7513.jpg	neutral	Crochet	5.45	1.4	3.47	2.02	5.82	1.77	.	.	20\
7547	7547.jpg	neutral	Bridge	5.21	0.96	3.18	2.01	.	.	5.76	2	16\
7560	7560.jpg	neutral	Freeway	4.47	1.65	5.24	2.03	4.63	2.09	.	.	3\
7580	7580.jpg	positive	Desert	7.51	1.6	4.59	2.72	5.12	2.56	.	.	3\
7600	7600.jpg	neutral	Dragon	5.9	1.76	5.5	1.92	5.22	2.01	.	.	12\
7820	7820.jpg	neutral	Agate	5.39	1.41	4.21	2.05	5.30	1.96	.	.	3\
7830	7830.jpg	neutral	Agate	5.26	1.38	4.08	2.11	5.36	1.81	.	.	3\
8190	8190.jpg	positive	Skier	8.1	1.39	6.28	2.57	6.14	2.74	.	.	5\
8325	8325.jpg	neutral	RaceCars	5.63	1.5	4.47	2.19	5.53	1.82	.	.	18\
9000	9000.jpg	negative	Cemetery	2.55	1.55	4.06	2.25	3.25	2.13	.	.	2\
9180	9180.jpg	negative	Seal	2.99	1.61	5.02	2.09	4.52	2.09	.	.	2\
9181	9181.jpg	negative	DeadCows	2.26	1.85	5.39	2.41	4.04	2.27	.	.	8\
9220	9220.jpg	negative	Cemetery	2.06	1.54	4	2.09	3.13	1.97	.	.	6\
9280	9280.jpg	negative	Smoke	2.8	1.54	4.26	2.44	4.10	2.54	.	.	9\
9291	9291.jpg	negative	Garbage	2.93	1.19	4.38	2.05	4.75	1.75	.	.	18\
9295	9295.jpg	negative	Garbage	2.39	1.3	5.11	2.05	3.74	2.08	.	.	17\
9320	9320.jpg	negative	Vomit	2.65	1.92	4.93	2.7	4.44	2.09	.	.	5\
9342	9342.jpg	negative	Pollution	2.85	1.41	4.49	1.88	.	.	4.22	2.16	14\
