emo_jpg	emo_side	neu_jpg	valence	probe_side	soa	congruence	trial
2091.jpg	-1	1908.jpg	positive	1	0	-1	1
1721.jpg	1	7025.jpg	positive	-1	0.1	-1	2
7580.jpg	-1	5535.jpg	positive	-1	0.2	1	3
9295.jpg	-1	7211.jpg	negative	-1	0.3	1	4
9295.jpg	1	7061.jpg	negative	-1	0.5	-1	5
1463.jpg	1	1560.jpg	positive	-1	0	-1	6
9560.jpg	1	7130.jpg	negative	-1	0.2	-1	7
9927.jpg	-1	7830.jpg	negative	1	0.3	-1	8
9180.jpg	-1	7224.jpg	negative	1	0.2	-1	9
2799.jpg	1	7041.jpg	negative	1	0	1	10
9435.jpg	1	1560.jpg	negative	-1	0.3	-1	11
2750.jpg	1	2597.jpg	negative	1	0.1	1	12
6300.jpg	-1	7137.jpg	negative	1	0	-1	13
5780.jpg	-1	5130.jpg	positive	1	0.5	-1	14
2154.jpg	-1	7186.jpg	positive	1	0.1	-1	15
1999.jpg	-1	8325.jpg	positive	-1	0.1	1	16
9925.jpg	1	5740.jpg	negative	-1	0.2	-1	17
1920.jpg	-1	7032.jpg	positive	1	0.5	-1	18
9832.jpg	-1	7002.jpg	negative	1	0	-1	19
5829.jpg	1	7504.jpg	positive	-1	0	-1	20
7502.jpg	1	2191.jpg	positive	-1	0.1	-1	21
9922.jpg	1	7012.jpg	negative	-1	0.1	-1	22
9280.jpg	-1	7248.jpg	negative	1	0.3	-1	23
9415.jpg	1	5395.jpg	negative	-1	0.5	-1	24
9927.jpg	1	7045.jpg	negative	-1	0.3	-1	25
9925.jpg	-1	5900.jpg	negative	1	0	-1	26
1440.jpg	-1	7012.jpg	positive	-1	0.3	1	27
9430.jpg	1	7100.jpg	negative	-1	0.2	-1	28
9435.jpg	1	5535.jpg	negative	-1	0.2	-1	29
2314.jpg	-1	1505.jpg	positive	1	0.3	-1	30
5831.jpg	1	7161.jpg	positive	-1	0.2	-1	31
